Log Mode	Log Freq	Timestamp	AccX	AccY	AccZ	GyroX	GyroY	GyroZ	MagnX	MagnY	MagnZ	qw	qi	qj	qk
5	200	1650449513	613.416	209.352	716.628	-32.31707	31.70732	-8.780488	-527	-190	-550	0.9180532	0.1116367	-0.3752861	-0.06225776
5	200	1650449513	581.208	188.124	729.804	-30.97561	28.17073	-7.804878	-527	-190	-550	0.9208446	0.1084933	-0.3692129	-0.06289865
5	200	1650449513	633.18	191.784	779.58	-29.5122	25	-8.04878	-525	-190	-552	0.9218002	0.106418	-0.3674123	-0.0629902
5	200	1650449513	639.768	215.208	748.104	-28.65854	22.68293	-7.926829	-525	-190	-552	0.9231007	0.10477	-0.3644825	-0.06372264
5	200	1650449513	617.076	217.404	777.384	-25.97561	21.09756	-8.04878	-525	-188	-553	0.9242195	0.1034883	-0.361919	-0.06421094
5	200	1650449513	638.304	204.228	794.952	-21.82927	19.02439	-7.317073	-525	-188	-553	0.9259413	0.10065	-0.3582568	-0.0644551
5	200	1650449513	628.056	245.952	823.5	-19.14634	18.53659	-6.829268	-523	-187	-552	0.9268467	0.1004364	-0.3558458	-0.0651265
5	200	1650449513	607.56	233.508	814.716	-13.53659	19.39024	-5.121951	-523	-187	-552	0.9276767	0.09976501	-0.3537706	-0.06564531
5	200	1650449513	583.404	237.168	830.088	-10	19.87805	-3.902439	-523	-188	-553	0.9289641	0.09976501	-0.3502609	-0.06625568
5	200	1650449513	576.084	245.952	817.644	-4.02439	18.90244	-3.536585	-523	-188	-553	0.930935	0.09997865	-0.3447676	-0.06707969
5	200	1650449513	591.456	227.652	813.252	-0.1219512	18.04878	-3.04878	-522	-187	-554	0.9321259	0.09994812	-0.3414716	-0.0674459
5	200	1650449513	614.88	228.384	843.996	3.292683	16.58537	-2.073171	-522	-187	-554	0.9332432	0.1002533	-0.3382672	-0.06769006
5	200	1650449513	585.6	223.26	824.232	5.97561	14.7561	-1.463415	-521	-188	-555	0.9338411	0.1004975	-0.3365276	-0.06775109
5	200	1650449513	595.848	219.6	798.612	10.36585	11.95122	0.3658537	-521	-188	-555	0.9347281	0.1009247	-0.3339336	-0.06772058
5	200	1650449513	613.416	213.744	811.788	13.90244	9.268293	1.95122	-521	-189	-555	0.9352182	0.1006806	-0.3327128	-0.06732383
5	200	1650449513	589.26	218.868	794.22	16.58537	6.219512	5.365854	-521	-189	-555	0.9354521	0.1012299	-0.3320109	-0.06671346
5	200	1650449513	584.136	229.116	783.972	15.97561	6.219512	6.829268	-520	-189	-558	0.9354022	0.1018098	-0.3320719	-0.06622517
5	200	1650449513	554.124	224.724	777.384	11.58537	8.170732	7.317073	-520	-189	-558	0.9357468	0.103885	-0.3304544	-0.06622516
5	200	1650449513	584.136	243.756	795.684	9.878049	10.36585	7.682927	-519	-191	-557	0.9360298	0.1042817	-0.3295999	-0.06585895
5	200	1650449513	562.176	243.756	788.364	6.707317	11.58537	7.439024	-519	-191	-557	0.9364229	0.1057466	-0.3280435	-0.06570635
5	200	1650449513	562.908	254.736	798.612	4.512195	12.31707	7.560976	-520	-190	-559	0.9368307	0.1073336	-0.3263039	-0.06598102
5	200	1650449513	587.064	261.324	820.572	2.317073	13.41463	7.804878	-520	-190	-559	0.9367774	0.1083712	-0.3261818	-0.06564531
5	200	1650449513	561.444	238.632	802.272	0.9756098	15.12195	8.658537	-519	-191	-559	0.9373184	0.1088595	-0.3244728	-0.06558428
5	200	1650449513	576.084	231.312	795.684	-0.9756098	16.09756	8.658537	-517	-191	-560	0.937246	0.1095004	-0.3245643	-0.06509598
5	200	1650449513	602.436	250.344	777.384	-1.95122	15	7.804878	-517	-191	-560	0.9373224	0.1092257	-0.3245338	-0.06460768
5	200	1650449513	604.632	237.168	783.972	-2.926829	10.85366	5.365854	-517	-191	-560	0.9368534	0.1098666	-0.3257546	-0.06418043
5	200	1650449513	608.292	229.848	796.416	-3.536585	6.585366	3.780488	-517	-191	-560	0.9367036	0.1095614	-0.3263649	-0.06378368
5	200	1650449513	605.364	201.3	797.148	-2.682927	0.4878049	2.073171	-516	-190	-561	0.9365375	0.108005	-0.3275247	-0.06292918
5	200	1650449513	614.148	234.972	786.9	-2.804878	-1.829268	1.95122	-516	-190	-561	0.9363973	0.107242	-0.3282571	-0.06250191
5	200	1650449513	604.632	244.488	805.2	-2.439024	-3.902439	2.073171	-515	-191	-561	0.9363068	0.1075472	-0.3284097	-0.06253242
5	200	1650449513	614.88	238.632	786.9	-2.317073	-4.268293	1.585366	-515	-191	-561	0.9360775	0.1074862	-0.3291116	-0.06237983
5	200	1650449513	618.54	240.096	816.18	-2.926829	-4.146341	1.341463	-517	-190	-560	0.935747	0.1077609	-0.3299661	-0.06234932
5	200	1650449513	597.312	230.58	795.684	-2.682927	-4.146341	1.341463	-517	-190	-560	0.9358097	0.1076083	-0.3298441	-0.0623188
5	200	1650449513	603.9	255.468	812.52	-2.926829	-2.682927	0.9756098	-517	-189	-560	0.9358416	0.1079134	-0.3296304	-0.06244086
5	200	1650449513	606.828	249.612	784.704	-3.780488	-1.95122	0.7317073	-517	-189	-560	0.9354992	0.1086459	-0.3303324	-0.06259347
5	200	1650449513	614.88	221.064	748.104	-4.268293	-1.341463	0.8536586	-517	-191	-561	0.9350524	0.1085238	-0.3316752	-0.06237984
5	200	1650449513	609.756	254.004	783.24	-4.512195	-1.219512	1.219512	-517	-191	-561	0.9344651	0.1096225	-0.3329265	-0.06259347
5	200	1650449513	599.508	232.776	756.156	-4.02439	-1.585366	2.195122	-517	-191	-561	0.9343607	0.1093173	-0.3333537	-0.06241035
5	200	1650449513	598.044	257.664	766.404	-3.292683	-2.439024	2.682927	-517	-191	-561	0.9339316	0.110416	-0.3341471	-0.0626545
5	200	1650449513	619.272	249.612	770.796	-1.585366	-2.682927	2.926829	-517	-191	-560	0.9332838	0.1109043	-0.3358257	-0.06247139
5	200	1650449513	645.624	232.044	770.796	-1.585366	-3.414634	3.292683	-517	-191	-560	0.9326108	0.110477	-0.3379315	-0.06192205
5	200	1650449513	600.972	261.324	767.868	-1.219512	-4.756098	3.780488	-516	-190	-560	0.9320569	0.1108738	-0.3393659	-0.06170844
5	200	1650449513	610.488	234.972	754.692	-1.219512	-4.756098	3.902439	-516	-190	-560	0.93155	0.1115757	-0.3405255	-0.06170843
5	200	1650449513	611.22	221.796	777.384	-0.7317073	-4.02439	3.902439	-519	-191	-559	0.9308559	0.11124	-0.3426313	-0.06112858
5	200	1650449513	600.972	243.756	753.96	-0.6097561	-4.512195	4.268293	-519	-191	-559	0.9305983	0.1112705	-0.3433637	-0.06088442
5	200	1650449513	593.652	256.2	807.396	-0.3658537	-4.02439	4.02439	-518	-192	-563	0.9304366	0.1115757	-0.34373	-0.06073184
5	200	1650449513	606.828	276.696	734.196	-0.9756098	-3.04878	4.146341	-518	-192	-563	0.9298372	0.1131932	-0.3447676	-0.06103702
5	200	1650449513	613.416	240.096	756.888	-2.682927	-1.585366	4.268293	-519	-191	-560	0.9298339	0.1130711	-0.3448591	-0.06079286
5	200	1650449513	612.684	256.2	777.384	-4.634147	-1.585366	4.02439	-519	-191	-560	0.9298701	0.1131626	-0.3447371	-0.06076235
5	200	1650449513	629.52	236.436	796.416	-8.170732	-1.829268	3.902439	-519	-191	-559	0.9299204	0.1123691	-0.3449202	-0.06042665
5	200	1650449513	631.716	236.436	775.188	-9.390244	-2.073171	3.04878	-519	-191	-559	0.9298711	0.1123081	-0.3450728	-0.06042665
5	200	1650449513	616.344	238.632	800.808	-11.70732	-0.9756098	3.170732	-518	-192	-558	0.9302816	0.1116062	-0.3441877	-0.06045717
5	200	1650449513	609.756	239.364	766.404	-12.43902	-0.6097561	2.804878	-518	-192	-558	0.9302753	0.1115146	-0.3442183	-0.06054873
5	200	1650449513	609.756	238.632	756.156	-13.78049	0.3658537	2.682927	-519	-189	-559	0.9303506	0.1111789	-0.3440962	-0.06070131
5	200	1650449513	601.704	264.984	782.508	-14.5122	0.7317073	2.073171	-519	-189	-559	0.9304057	0.1119419	-0.3436079	-0.06122014
5	200	1650449513	613.416	224.724	772.992	-17.19512	0.2439024	2.073171	-518	-190	-558	0.9301507	0.1118809	-0.3442793	-0.06143376
5	200	1650449513	613.416	216.672	758.352	-19.02439	-0.2439024	1.829268	-518	-190	-558	0.930176	0.1110263	-0.3444929	-0.06140324
5	200	1650449513	609.756	252.54	767.136	-19.39024	-1.219512	1.585366	-520	-190	-557	0.9300448	0.1106296	-0.3449202	-0.06170844
5	200	1650449513	622.932	245.952	738.588	-18.53659	-1.585366	1.097561	-520	-190	-557	0.9298643	0.1107212	-0.3453169	-0.06204413
5	200	1650449513	609.756	239.364	757.62	-17.56098	-2.439024	0.8536586	-519	-187	-559	0.9298663	0.1097751	-0.3455916	-0.0621662
5	200	1650449513	612.684	247.416	754.692	-16.34146	-2.682927	-0.1219512	-519	-187	-559	0.9298369	0.1094394	-0.3457442	-0.06234932
5	200	1650449513	606.828	249.612	781.776	-13.78049	-2.926829	-0.1219512	-518	-187	-556	0.9300594	0.1091342	-0.3451643	-0.06277657
5	200	1650449513	609.756	243.756	739.32	-12.43902	-2.926829	-0.2439024	-518	-187	-556	0.9297435	0.1092868	-0.3459273	-0.06299021
5	200	1650449513	578.28	237.9	778.116	-10.60976	-1.707317	-0.1219512	-518	-186	-557	0.9301165	0.1099887	-0.344554	-0.06378368
5	200	1650449513	607.56	245.22	732	-9.634147	-0.4878049	0.1219512	-518	-186	-557	0.9298454	0.110416	-0.3451033	-0.06402783
5	200	1650449513	598.776	241.56	770.796	-8.536586	0.8536586	0.3658537	-519	-187	-555	0.9301949	0.1101108	-0.3442183	-0.06424146
5	200	1650449513	586.332	220.332	777.384	-8.414635	1.585366	0.9756098	-519	-187	-555	0.9303784	0.1094699	-0.3439436	-0.06414991
5	200	1650449513	609.024	223.26	789.096	-8.780488	2.439024	1.707317	-519	-187	-556	0.9309457	0.1080355	-0.342906	-0.06390576
5	200	1650449513	615.612	240.096	772.26	-8.780488	2.804878	1.585366	-519	-187	-556	0.9308307	0.1084322	-0.3430585	-0.06408887
5	200	1650449513	617.076	232.044	756.156	-8.414635	3.170732	2.073171	-519	-186	-556	0.9309854	0.1074557	-0.3429976	-0.06381421
5	200	1650449513	581.94	245.952	789.096	-8.04878	3.170732	2.439024	-519	-186	-556	0.931376	0.1076998	-0.3418073	-0.06408888
5	200	1650449513	610.488	225.456	764.94	-7.926829	3.902439	3.414634	-520	-188	-557	0.9315504	0.1071505	-0.3415326	-0.06393627
5	200	1650449513	616.344	240.096	782.508	-7.926829	4.02439	3.414634	-520	-188	-557	0.9312303	0.1067232	-0.3426008	-0.06360058
5	200	1650449513	631.716	223.992	785.436	-7.926829	5	3.170732	-519	-186	-556	0.9312808	0.1060518	-0.3427229	-0.0633259
5	200	1650449513	644.892	241.56	775.188	-8.170732	5	2.195122	-519	-186	-556	0.9309502	0.1060823	-0.3436384	-0.06317332
5	200	1650449513	624.396	218.868	786.168	-8.658537	4.634147	1.585366	-518	-185	-556	0.9308626	0.1056551	-0.3440351	-0.06302072
5	200	1650449513	627.324	242.292	797.148	-8.536586	3.658537	1.463415	-518	-185	-556	0.931074	0.1053804	-0.3435468	-0.06302071
5	200	1650449513	603.9	232.776	805.932	-9.878049	2.439024	0.9756098	-518	-185	-556	0.9313474	0.1050142	-0.3429059	-0.06308175
5	200	1650449513	633.912	249.612	734.196	-11.58537	-0.3658537	-2.073171	-518	-185	-556	0.9309854	0.1055635	-0.3436689	-0.06335642
5	200	1650449513	616.344	226.188	783.972	-11.34146	-1.707317	-4.02439	-519	-185	-557	0.9310785	0.1048921	-0.3435774	-0.06360058
5	200	1650449513	634.644	210.816	778.848	-7.682927	-1.829268	-1.463415	-519	-185	-557	0.9314147	0.1036714	-0.3430585	-0.06347849
5	200	1650449513	625.86	202.032	771.528	-1.829268	-5.853659	0.1219512	-517	-185	-556	0.9311883	0.1033357	-0.343791	-0.06338695
5	200	1650449513	592.92	208.62	757.62	-0.1219512	-9.634147	0	-517	-185	-556	0.930803	0.1030915	-0.3449507	-0.06314281
